IP,Method,Request,Status,Timestamp,Email,ResponseTime,PayloadSize
192.168.1.45,POST,/login,401,2025-09-18 10:00:05,user@example.com,340,400
192.168.1.78,GET,/admin,403,2025-09-18 10:00:08,student@example.com,530,0
192.168.1.101,POST,/login?id=1' OR '1'='1--,401,2025-09-18 10:00:12,test@example.com,390,300
192.168.1.24,GET,/config,403,2025-09-18 10:00:16,victim@example.com,610,0
192.168.1.56,GET,/internal,403,2025-09-18 10:00:20,person@example.com,580,0
192.168.1.33,POST,/login?q=<script>alert(1)</script>,401,2025-09-18 10:00:25,user@example.com,410,350
192.168.1.88,POST,/debug,500,2025-09-18 10:00:28,admin@example.com,720,0
192.168.1.120,GET,/scan,403,2025-09-18 10:00:32,test@example.com,450,0
192.168.1.199,POST,/delete,500,2025-09-18 10:00:35,student@example.com,810,200
192.168.1.144,GET,/login,401,2025-09-18 10:00:38,user@example.com,360,280
192.168.1.12,GET,/home,200,2025-09-18 10:00:42,victim@example.com,110,0
192.168.1.15,GET,/courses,200,2025-09-18 10:00:45,user@example.com,95,0
192.168.1.47,POST,/notes,200,2025-09-18 10:00:49,student@example.com,120,800
192.168.1.19,GET,/library,200,2025-09-18 10:00:54,test@example.com,130,0
192.168.1.87,POST,/search,200,2025-09-18 10:00:58,person@example.com,140,200
192.168.1.199,POST,/scan,403,2025-09-18 10:01:02,user@example.com,510,0
192.168.1.22,POST,/config,403,2025-09-18 10:01:05,student@example.com,620,0
192.168.1.100,POST,/login,401,2025-09-18 10:01:09,test@example.com,450,320
192.168.1.100,POST,/login,401,2025-09-18 10:01:12,test@example.com,470,320
192.168.1.100,POST,/login,401,2025-09-18 10:01:16,test@example.com,490,320
192.168.1.201,GET,/debug,500,2025-09-18 10:01:20,admin@example.com,760,0
192.168.1.55,GET,/admin,403,2025-09-18 10:01:23,user@example.com,540,0
192.168.1.76,POST,/upload,200,2025-09-18 10:01:28,student@example.com,150,45000
192.168.1.34,GET,/profile,200,2025-09-18 10:01:33,person@example.com,95,0
192.168.1.140,GET,/home,200,2025-09-18 10:01:36,victim@example.com,90,0
192.168.1.247,POST,/scan2,403,2025-09-18 10:01:40,test@example.com,520,0
192.168.1.234,POST,/login?id=1' OR '1'='1--,401,2025-09-18 10:01:43,user@example.com,380,260
192.168.1.231,GET,/backup,403,2025-09-18 10:01:47,admin@example.com,600,0
192.168.1.221,POST,/delete,500,2025-09-18 10:01:51,student@example.com,830,200
192.168.1.190,POST,/login,401,2025-09-18 10:01:55,test@example.com,420,300
192.168.1.190,POST,/login,401,2025-09-18 10:01:59,test@example.com,430,300
192.168.1.190,POST,/login,401,2025-09-18 10:02:03,test@example.com,440,300
192.168.1.165,GET,/admin,403,2025-09-18 10:02:07,person@example.com,520,0
192.168.1.87,POST,/search,200,2025-09-18 10:02:11,student@example.com,125,380
192.168.1.54,GET,/internal,403,2025-09-18 10:02:15,user@example.com,610,0
192.168.1.210,POST,/debug,500,2025-09-18 10:02:19,admin@example.com,790,0
192.168.1.17,GET,/library,200,2025-09-18 10:02:23,test@example.com,140,0
192.168.1.79,POST,/notes,200,2025-09-18 10:02:26,student@example.com,135,720
192.168.1.200,GET,/home,200,2025-09-18 10:02:30,person@example.com,90,0
192.168.1.11,POST,/upload,200,2025-09-18 10:02:34,victim@example.com,160,52000
192.168.1.145,POST,/scan,403,2025-09-18 10:02:38,test@example.com,480,0
192.168.1.145,GET,/scan2,403,2025-09-18 10:02:42,test@example.com,500,0
192.168.1.94,POST,/login?q=<script>alert(1)</script>,401,2025-09-18 10:02:46,user@example.com,410,350
192.168.1.94,POST,/login?id=1' OR '1'='1--,401,2025-09-18 10:02:50,user@example.com,430,350
192.168.1.50,GET,/dashboard,200,2025-09-18 10:02:54,student@example.com,95,0
192.168.1.67,GET,/profile,200,2025-09-18 10:02:58,person@example.com,100,0
192.168.1.122,GET,/config,403,2025-09-18 10:03:02,user@example.com,580,0
192.168.1.176,POST,/delete,500,2025-09-18 10:03:06,admin@example.com,840,300
192.168.1.132,POST,/debug,500,2025-09-18 10:03:10,test@example.com,780,0
192.168.1.31,POST,/login,401,2025-09-18 10:03:14,student@example.com,350,260
192.168.1.31,POST,/login,401,2025-09-18 10:03:17,student@example.com,370,260
192.168.1.31,POST,/login,401,2025-09-18 10:03:21,student@example.com,390,260
192.168.1.199,GET,/admin,403,2025-09-18 10:03:25,victim@example.com,590,0
192.168.1.144,POST,/upload,200,2025-09-18 10:03:29,user@example.com,170,49000
192.168.1.84,GET,/courses,200,2025-09-18 10:03:33,student@example.com,105,0
192.168.1.202,GET,/profile,200,2025-09-18 10:03:37,test@example.com,120,0

